Feature,Welch Test Statistic,Welch p-Value,Levene Center Strategy,Levene Test Statistic,Levene p-Value
pcm_fftMag_spectralRollOff50.0_sma_flatness,-1.1130802652110698,0.26574070213187295,median,10.32049661558196,0.0013260197135009934
pcm_fftMag_spectralRollOff50.0_sma_rqmean,1.781482228308878,0.07490951341339176,median,3.6169093755526878,0.05726664517177244
pcm_fftMag_spectralRollOff50.0_sma_meanPeakDist,7.211542255144927,6.630064792646151e-13,median,39.79807027402014,3.1217974657562465e-10
pcm_fftMag_spectralRollOff50.0_sma_peakDistStddev,6.972577513213707,3.659549046336066e-12,median,42.0807301259343,9.823898005866444e-11
pcm_fftMag_spectralRollOff50.0_sma_peakRangeAbs,8.718771638191377,4.17047899319905e-18,median,75.03931308904494,6.587702283921564e-18
pcm_fftMag_spectralRollOff50.0_sma_peakRangeRel,7.39980501904937,1.6579457078140261e-13,median,37.79374655521632,8.631071737229945e-10
pcm_fftMag_spectralRollOff50.0_sma_peakMeanAbs,2.9690950381617394,0.0030045093446386824,median,0.2645506894328671,0.6070392172274477
pcm_fftMag_spectralRollOff50.0_sma_peakMeanMeanDist,3.037441383898872,0.0024013492592787904,median,0.09672595636357627,0.7558107334339761
pcm_fftMag_spectralRollOff50.0_sma_peakMeanRel,3.303380879949388,0.000963698979817116,median,0.8073403302733112,0.3689617134335438
pcm_fftMag_spectralRollOff50.0_sma_minRangeRel,1.85904122647649,0.06309559354371087,median,2.9445590505326624,0.08624447161421704
pcm_fftMag_spectralRollOff50.0_sma_meanRisingSlope,2.2119983243170847,0.027023082812483955,median,0.6708548940037181,0.4128023962900197
pcm_fftMag_spectralRollOff50.0_sma_stddevRisingSlope,3.9999771372016957,6.454175056827476e-05,median,11.267616626284186,0.0007960547030722708
pcm_fftMag_spectralRollOff50.0_sma_meanFallingSlope,2.4298098328624467,0.015150399241540883,median,0.11308914067635263,0.7366718343312052
pcm_fftMag_spectralRollOff50.0_sma_stddevFallingSlope,5.563835248896398,2.8230072204825654e-08,median,25.471391644294737,4.689102426836693e-07
pcm_fftMag_spectralRollOff50.0_sma_linregc1,1.081301146932771,0.27962841557821944,median,22.51085752374347,2.162370125776725e-06
pcm_fftMag_spectralRollOff50.0_sma_linregc2,-2.666266525843888,0.007700692923661982,median,9.751984235675977,0.0018040607813864739
pcm_fftMag_spectralRollOff50.0_sma_linregerrQ,-2.1976298703671864,0.02803260074899452,median,0.3829547102101597,0.5360613121741995
pcm_fftMag_spectralRollOff50.0_sma_qregc1,-1.204035516195123,0.22864709967020821,median,6.081145528196483,0.013704774821751156
pcm_fftMag_spectralRollOff50.0_sma_qregc2,1.2118700480732338,0.2256336331006893,median,22.27087979548402,2.4484608125370414e-06
pcm_fftMag_spectralRollOff50.0_sma_qregc3,-2.8240207588455273,0.004765959270340327,median,16.319147296374013,5.452261463121266e-05
pcm_fftMag_spectralRollOff50.0_sma_qregerrQ,-0.9572040367377618,0.338522209289014,median,0.009705677439310287,0.9215263839168135
pcm_fftMag_spectralRollOff50.0_sma_centroid,2.5779595936885555,0.00997393957016558,median,5.038846557544605,0.024839303158819187
pcm_fftMag_spectralRollOff75.0_sma_amean,0.06271457115870827,0.9499969654521232,median,5.108553402326155,0.023861590655522583
pcm_fftMag_spectralRollOff75.0_sma_flatness,1.072906814530338,0.2833775321636227,median,6.651990087502922,0.00993982802489572
pcm_fftMag_spectralRollOff75.0_sma_rqmean,0.38457076280272146,0.7005759904893034,median,6.350038820281056,0.011776412353981086
pcm_fftMag_spectralRollOff75.0_sma_meanPeakDist,6.902692489686716,5.944957412849297e-12,median,30.02995034661821,4.51568125631288e-08
pcm_fftMag_spectralRollOff75.0_sma_peakDistStddev,6.317616180629555,2.960039910887885e-10,median,30.991015350212248,2.761891130953497e-08
pcm_fftMag_spectralRollOff75.0_sma_peakRangeAbs,5.06864748418646,4.1905567031508166e-07,median,20.535780245172166,6.0232137959437586e-06
pcm_fftMag_spectralRollOff75.0_sma_peakRangeRel,5.101971927150237,3.518282927341222e-07,median,1.317450015933209,0.25111869391262037
pcm_fftMag_spectralRollOff75.0_sma_peakMeanAbs,2.2917168168856397,0.021973733356501664,median,0.7846609441011323,0.37577256584556407
pcm_fftMag_spectralRollOff75.0_sma_peakMeanMeanDist,2.654892718157322,0.007964782434777483,median,0.02954187257739235,0.8635425164596225
pcm_fftMag_spectralRollOff75.0_sma_peakMeanRel,3.435096680434125,0.0005984310817554264,median,3.256519124594081,0.07121500368047726
