ID,Age,Gender,F_V_BCD,S_Z_BCD,SH_ZH_BCD,TH_DH_BCD,F_V_WCD,S_Z_WCD,SH_ZH_WCD,TH_DH_WCD,F_V_CO,S_Z_CO,SH_ZH_CO,TH_DH_CO,F_V_CD,S_Z_CD,SH_ZH_CD,TH_DH_CD,Condition
S064,61,female ,1227.1436107100283,3415.6203146185826,,,148.09126594345756,804.609362395636,820.0272504616667,687.2872144868762,-930.961078823113,161.20052343965017,0.0,0.0,6.0838447510464375,3.599125637198788,,,cc
S033,61,female ,1227.9289015768109,1483.733579319825,,40.7660298052142,60.070685351771715,1519.2258845411495,1318.717249206811,189.251400227308,-1107.7875308732673,2528.0173787964345,0.0,850.9120001364844,14.454252486638275,0.9085432056666645,,0.15231557643799373,cc
S003,69,female ,1292.2945418610118,2369.6405147113082,,55.79382824456735,608.7073264738374,1633.2138753932445,1280.8329785828844,86.64163923932196,-217.10436964571863,4942.05729131301,0.0,235.5197013789704,1.6069888506280372,1.4509064271577745,,0.6383798984615636,cc
S029,72,female ,213.99680527888586,2163.4876169905647,,,182.65831860817022,886.4513156510054,470.9941125820209,585.8002063840715,94.04733366573987,1380.2191143850937,0.0,0.0,0.9029049109511919,2.3868839521369445,,,cc
S072,75,male ,2643.3449876106306,1777.7267082285866,,1891.1367739109978,1136.562378031209,695.8244999517269,203.62409941763852,47.271880794898195,-172.72481128691965,242.05983748544259,0.0,-1566.836164233322,1.6608138449806245,2.2424190559531048,,28.288183471812236,cc
S025,67,female ,-161.87989853797512,321.9988573982264,,152.82775583889998,46.16549047336053,833.64007912735,430.7887932476846,122.72893018640447,255.18379446152977,1923.8084792708012,0.0,285.4062634727386,-2.6871092084767967,0.3742648239822158,,1.1073752801982664,cc
S056,68,female ,430.7168691356354,2048.699303959341,,,457.21054113082806,2122.2709889608595,821.5379069392023,833.0625026856166,609.6782849870459,6615.449990483268,0.0,0.0,0.8455685185534669,0.9644089049875363,,,cc
S043,69,male ,1782.0212631835725,2518.941997647517,,411.31061700024145,260.88232248739826,868.0850040017913,1121.6448760918988,312.55561665125686,-996.1422889315385,823.7897386497366,0.0,1430.320521455799,5.173745608654911,2.7371257280153616,,0.9305240762299515,cc
S062,64,male ,1706.0559915521899,2752.1384040595713,,,450.09433355463403,1065.3330284279157,491.598008468359,2498.179578049313,-480.33297863072767,1390.253116951466,0.0,0.0,3.46547841988426,2.4634462782005784,,,cc
S024,73,female ,318.1617316040514,1638.8911780380945,1082.2365011877557,,196.24739603873056,883.544953488028,255.97262341208014,320.24361044329777,26.840564479118598,983.3922441230868,-392.0149309521889,0.0,1.2039426026589253,1.5638512127722426,2.989603960910729,,cc
S071,74,male ,1325.8881607364385,1621.5817870622761,,346.12802466175276,22.710837880548326,1163.5370658251968,0.0,187.99511210386652,-1280.4664849753417,3000.0757557534466,0.0,294.711471043998,41.281810670433046,1.3861900408856098,,1.3018927495402481,cc
S038,57,male ,3059.607075941563,1918.2706068760194,,1291.4888531004085,874.4584450264873,1495.9106915037037,1062.5199438996722,1141.8035635717883,-291.26900486033594,4566.7774507664,0.0,2608.9858354611633,2.537399332226604,1.254565972268483,,1.041618177984933,cc
S027,78,male ,833.3912959992576,471.4177523611979,,,544.2272703300515,215.77483710535003,509.9685038762084,161.62622600723458,588.3998863142851,146.42695758365653,0.0,0.0,1.3815793907842133,1.738793456064474,,,cc
S039,66,female ,1002.9587478752585,2236.3406508617236,,150.88177574969984,707.7716349394033,1981.2734061310396,880.9870608047734,171.14527944894502,352.0338747760584,7201.1497159588125,0.0,1171.8292801653179,1.115374326053361,1.1272634038311862,,0.6264931560414113,cc
S070,72,female ,554.2761132762216,1333.651026939749,,,222.53741994424098,1757.8034530797745,0.0,990.8716349026299,14.239582050743024,4756.315571355248,0.0,0.0,2.0250388365150904,0.7577229111145258,,,cc
S019,57,female ,2035.872334743311,1108.8317583707108,,-31.12210046435348,840.1160494946565,2207.4574363673364,0.0,559.5276740051245,-129.04026317798912,5424.215991276167,0.0,2424.919556775475,1.7495771328653982,0.49986984411011864,,-0.05040277148172072,cc
S011,70,female ,284.8412518067296,125.53697093885376,,-224.91549500735937,815.1216540359992,2010.3795975194466,658.5881585712291,285.85037194635896,1712.6094204306296,5569.700306291504,0.0,1198.3297011644504,0.34333829734211757,0.06239821057453591,,-0.55637244979159,cc
S063,65,male ,2282.075221446216,2253.665253595699,,-1542.85802967481,701.6222755263269,1450.7735805350285,527.998238232026,1073.769402791977,-703.1927868418502,3198.3564609025616,0.0,5996.001918046906,2.521174370020749,1.549749821709623,,-1.0160145859571752,cc
S021,64,female ,818.2191942789218,-80.19667100166043,,,480.558535702324,2754.109078291592,1062.386311415898,2171.75444502834,323.3286969160091,7697.829235910866,0.0,0.0,1.4456086152105136,-0.029052483366228937,,,cc
