ID,Age,Gender,P_VOT,B_VOT,T_VOT,D_VOT,K_VOT,G_VOT,F_COG,V_COG,S_COG,Z_COG,SH_COG,ZH_COG,TH_COG,DH_COG,IY_ERB,IH_ERB,UW_ERB,UH_ERB,AA_ERB,AE_ERB,IY_DUR,IH_DUR,UW_DUR,UH_DUR,AA_DUR,AE_DUR,Condition
S033,61,female ,,0.008458744499115767,0.015311359464197703,0.09697124674695168,0.019511860548397642,,1720.2084657337873,492.27956415697656,2839.1705788197132,1355.4369994998885,3379.003526710313,,755.2245014349397,714.4584716297255,3.6501847748128258,2.0550147425220437,2.6500205144917843,4.593797044255662,2.688834472172553,1.7281285256465946,0.12428571428571393,0.055833333333333325,0.08666666666666717,0.13500000000000156,0.12999999999999945,0.17499999999999893,cc
S003,69,female ,0.016635460708900027,0.020827008661488858,0.0236476346534216,0.04319002175015019,0.03783532985938465,0.017468418992868263,1805.326040464109,513.0314986030971,4227.401140582829,1857.7606258715207,2723.574723908957,,535.4308949365934,479.63706669202605,3.8081313265050056,2.602225500185224,5.366416563911283,4.845306880118644,3.8933282996462912,1.4965815824729958,0.12312500000000018,0.04703703703703633,0.09600000000000028,0.06500000000000061,0.1850000000000016,0.1133333333333338,cc
S029,72,female ,0.01796723952738688,0.014376309867380144,0.06863859632357107,0.021080665969592644,0.08287880725313694,,856.8819927412367,642.8851874623508,3374.609761030033,1211.1221440394686,3799.385086104081,,,907.135921496504,3.9966266419608334,2.4314925120455286,4.008790517314224,4.258361504925731,3.4662843476851033,1.5803554700945943,0.14083333333333395,0.0600000000000001,0.10500000000000044,0.08999999999999986,0.12000000000000098,0.1209090909090914,cc
S072,75,male ,0.011241320168014823,0.03931963211362657,0.028496950256711468,0.02543872802514357,0.04061623757969838,0.03352797028232146,1543.1399700369575,442.9261059762477,3866.632078409621,2088.905370181034,2985.665266472179,,2385.5843663419073,494.4475924309095,3.0167730401188293,1.5630380177803345,1.5490199077615228,2.7218998707566304,2.3844593538365504,0.7169652391068059,0.10647058823529387,0.07000000000000027,0.08999999999999986,0.129999999999999,0.15333333333333302,0.16909090909091065,cc
S025,67,female ,0.019327549973188408,0.026196025435232542,0.030738420098549595,0.02668690468942166,0.03320388623096015,0.03046640533877892,444.27235558430715,606.1522541222822,1355.3655468712502,1033.3666894730236,1025.10653353268,,792.6735552871567,639.8457994482569,3.1641017153048128,3.022309676323508,3.3869053665092896,,3.5540723231652387,2.8113713410752728,0.04999999999999955,0.03909090909090935,0.1033333333333332,0.029999999999999964,0.07111111111111137,0.06833333333333276,cc
S056,68,female ,0.0203858612847192,0.015989138683789858,0.01877014308416441,0.04105186427870911,0.04562212052267632,0.02878720299255022,1056.6087655691406,625.8918964335053,4704.547084879484,2479.01330873177,3248.396976114721,,,901.4981803323759,4.063032220852722,1.9414760562212008,5.171869728962255,3.9055768766378303,3.3048771206495293,1.1795297657139896,0.18769230769230905,0.050000000000000135,0.13399999999999626,0.08777777777777747,0.09125000000000116,0.11545454545454507,cc
S043,69,male ,0.02868903571545056,0.050750715063739266,0.04236965381144717,0.024424857446756487,0.03732423697709068,0.030481212937023845,2284.491009128048,502.4697459444756,3451.78717384442,932.8451761969033,2889.5019874617674,,1265.3400189465124,854.0294019462713,3.2330367581364072,1.7583434421435424,2.9254303902895518,2.0877681173071037,2.838532253873279,2.5094764909810956,0.17750000000000088,0.05217391304347939,0.15800000000000053,0.08799999999999955,0.1211111111111113,0.1019999999999996,cc
S062,64,male ,0.014323478958683909,0.01151032689026632,0.021173465297614474,0.03399801461235796,0.02388517403060904,,2351.9957913656044,645.9397998134145,4490.5964482855325,1738.4580442259603,1936.8463980372314,,,555.0508219462262,3.578850784730194,1.6570872979253484,2.6820243893596336,2.922576426962302,3.117036048223214,3.026205882696892,0.07800000000000065,0.05916666666666725,0.07000000000000027,0.12333333333333395,0.15599999999999933,0.20999999999999908,cc
S024,73,female ,0.024494787707263654,0.013559374148591985,0.03372878571761362,0.026683421896520114,0.049769620620551916,0.04350765759007421,729.867430276067,411.7056986720156,2267.5786314404577,628.6874534023633,1513.7156714110345,431.4791702232788,,555.103029948274,3.9721980845686256,3.2946349282093834,4.874671174148781,3.3789962644886886,4.128031368368445,3.1253203568861685,0.08500000000000109,0.056896551724137635,0.10399999999999993,0.08500000000000026,0.1583333333333332,0.16874999999999885,cc
S071,74,male ,0.00931438742663282,0.012008542053184357,0.011519605294384585,0.012010022145008866,0.01855849353061876,0.01471462046640326,1766.8214906629585,440.9333299265198,3321.7385093334365,1700.1567222711599,761.427370159115,,1095.4512250169612,749.3232003552084,3.4343879750163087,1.1528843769616894,3.151550120218907,1.020606689892293,2.289248065650126,1.736351024951339,0.07571428571428497,0.05090909090909088,0.16000000000000014,0.11999999999999965,0.0975000000000006,0.07999999999999917,cc
S038,57,male ,0.02238890891036647,0.016944286758116434,0.0305760196945774,0.024185507292872808,0.0512686964112886,0.015144369642348552,3401.869114857109,547.9921001867642,4835.923848754993,2917.653241878973,3131.706645930741,,2248.4351242442594,956.9462711438507,3.2564913527762585,1.82037480237164,4.245055408319357,2.834125101995693,2.8857217240202098,1.4715147931034347,0.11190476190476248,0.04999999999999927,0.17999999999999886,0.07874999999999988,0.16800000000000032,0.11999999999999995,cc
S027,78,male ,0.02183389068309793,0.02654905183076295,0.019925535447154717,0.04704255545411703,0.03251718104681548,0.04081832720021813,1396.025275811939,562.6339798126812,936.1406493490103,464.72289698781236,1494.222048962218,,,491.9648659214283,4.641320272574588,3.6261400779325483,3.652226622901188,2.784012342341544,2.5899163329117294,2.0228207009420403,0.09571428571428696,0.09153846153846082,0.11249999999999892,0.060000000000002274,0.08333333333333097,0.1933333333333328,cc
